,EX5.MELT_TEMP,EX4.MELT_TEMP,EX3.MELT_TEMP,EX2.MELT_TEMP,EX1.Z1_PV,EX1.Z2_PV,EX1.Z4_PV,EX1.A1_PV,EX1.A2_PV,EX1.H2_PV,EX1.H3_PV,EX1.H4_PV,EX1.H2O_PV,EX1.MELT_P_PV,EX1.MD_PV,EX1.MD_TQ
9657,296,222,252,267,210,220,240,240,239,239,240,42,45,12.425,75.5412,72
9658,296,222,252,267,210,220,240,240,239,239,240,42,45,12.425,75.5531,72
9659,296,222,252,267,210,220,240,240,239,239,240,42,45,12.4688,75.5412,72
9660,296,222,252,267,210,220,240,240,239,239,240,42,45,12.5125,75.5412,72
9661,296,222,252,267,210,220,239,240,240,239,240,42,45,12.5125,75.5769,72
9662,296,222,252,267,210,220,240,240,240,239,240,42,45,12.5563,75.5531,72
9663,296,222,252,267,210,220,239,240,240,239,240,42,45,12.5563,75.5769,72
9664,296,222,252,267,210,220,240,240,240,239,240,42,45,12.6,75.5412,72
9665,296,222,252,267,210,220,239,240,240,239,240,42,45,12.6,75.565,72
9666,296,222,252,267,210,220,239,240,240,239,240,42,45,12.6,75.5531,72
9667,296,222,252,267,211,220,239,240,240,239,240,42,45,12.6,75.565,72
9668,296,222,252,267,210,220,239,240,240,239,240,42,45,12.6,75.5293,72
9669,296,222,251,267,210,220,239,240,240,239,240,42,45,12.6,75.5531,72
9670,296,222,251,267,210,220,240,240,240,239,240,42,45,12.6438,75.5293,72
9671,296,222,251,267,210,220,240,240,240,239,240,42,45,12.6,75.5531,72
9672,295,222,251,267,210,220,239,239,240,239,240,42,45,12.6,75.5769,72
9673,296,222,251,267,210,220,240,239,240,239,240,42,45,12.6438,75.5293,72
9674,296,222,251,267,210,220,240,239,240,239,240,42,45,12.6438,75.5412,72
9675,296,222,251,267,210,220,239,239,240,239,240,42,45,12.6438,75.565,72
9676,296,222,251,267,210,220,240,239,240,239,240,42,45,12.6875,75.5769,72
9677,296,222,251,267,210,220,240,239,240,239,240,42,45,12.6875,75.5293,72
9678,296,222,251,267,210,220,239,239,240,239,240,42,45,12.6875,75.5412,72
9679,296,222,251,267,209,220,240,239,240,239,240,42,45,12.6875,75.565,72
9680,296,222,251,267,209,220,240,239,240,239,240,42,45,12.7313,75.5531,72
